id,element,type,outboundDegree,inboundDegree,diagram,useCase,model
1844,Filter and sort result,control,2,2,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,s14b_location_based_ad
1845,Leave Reemption statistics screen,control,1,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,s14b_location_based_ad
1846,Administrator,actor,2,0,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,s14b_location_based_ad
1847,Transaction Log,entity,0,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,s14b_location_based_ad
1848,Redemption statistics screen,boundary,3,2,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,s14b_location_based_ad
1849,Search result page,boundary,0,1,Billstatus page,View Partner Billing status storyboard,s14b_location_based_ad
1850,Partner data,entity,0,2,Billstatus page,View Partner Billing status storyboard,s14b_location_based_ad
1851,Display search result,control,1,1,Billstatus page,View Partner Billing status storyboard,s14b_location_based_ad
1852,Search,control,3,2,Billstatus page,View Partner Billing status storyboard,s14b_location_based_ad
1853,Display search result,control,1,1,Billstatus page,View Partner Billing status storyboard,s14b_location_based_ad
1854,Administrator,actor,1,0,Billstatus page,View Partner Billing status storyboard,s14b_location_based_ad
1855,Billstatus page,boundary,2,2,Billstatus page,View Partner Billing status storyboard,s14b_location_based_ad
1856,Partner,actor,0,1,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1857,Email the partner,control,1,2,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1858,Display partner account with errors,control,1,0,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1859,Suspend a partner account,control,2,1,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1860,Suspend failed page,boundary,0,3,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1861,Suspend succeed page,boundary,0,3,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1862,Partner Info,entity,0,2,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1863,Change account state,control,5,2,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1864,Administrator,actor,3,0,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1865,Page of Partner Account can be suspended,boundary,3,3,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard,s14b_location_based_ad
1866,Reactive failure,boundary,0,2,Reactive Partner Account,Reactive Partner Account,s14b_location_based_ad
1867,Reactive success,boundary,0,2,Reactive Partner Account,Reactive Partner Account,s14b_location_based_ad
1868,Partner data,entity,2,2,Reactive Partner Account,Reactive Partner Account,s14b_location_based_ad
1869,Reactive Partner,control,2,1,Reactive Partner Account,Reactive Partner Account,s14b_location_based_ad
1870,Display search result,control,1,2,Reactive Partner Account,Reactive Partner Account,s14b_location_based_ad
1871,Administrator,actor,3,0,Reactive Partner Account,Reactive Partner Account,s14b_location_based_ad
1872,Suspended Partners List,boundary,1,1,Reactive Partner Account,Reactive Partner Account,s14b_location_based_ad
1873,Error message popup,boundary,0,1,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1874,Display partner biling status page,control,2,1,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1875,Partner List,boundary,0,1,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1876,display partner list,control,1,1,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1877,Partner,actor,0,1,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1878,Display popup error message,control,2,2,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1879,Suspend Account,control,1,0,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1880,Display delete confirmation page,control,3,1,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1881,Delete confirmation page,boundary,1,2,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1882,Partner Info,entity,0,1,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1883,Delete Partner Account,control,1,1,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1884,Administrator,actor,2,0,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1885,Partner Biling Status Page,boundary,3,2,Delete Partner Account,Delete Partner Account,s14b_location_based_ad
1886,Display pritner failure message,control,1,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1887,Retrieve selected transactions,control,1,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1888,Transaction DB,entity,0,4,View Transaction Log,View Transaction Log,s14b_location_based_ad
1889,Dispute Redemption Page,boundary,0,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1890,Display connection error message,control,2,2,View Transaction Log,View Transaction Log,s14b_location_based_ad
1891,Display transactions,control,8,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1892,Direct to modify,control,3,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1893,Display no transactions message,control,1,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1894,Retrieve transactions,control,1,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1895,System message page,boundary,0,3,View Transaction Log,View Transaction Log,s14b_location_based_ad
1896,Retrieve and print,control,1,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1897,Administrator,actor,1,0,View Transaction Log,View Transaction Log,s14b_location_based_ad
1898,Transaction Log Page,boundary,2,1,View Transaction Log,View Transaction Log,s14b_location_based_ad
1899,Display locked account message,control,0,1,Admin Login,Admin Login,s14b_location_based_ad
1900,Display Home Page,control,1,1,Admin Login,Admin Login,s14b_location_based_ad
1901,Partner Info,entity,1,1,Admin Login,Admin Login,s14b_location_based_ad
1902,display partner list,control,1,1,Admin Login,Admin Login,s14b_location_based_ad
1903,Admin home page,boundary,0,2,Admin Login,Admin Login,s14b_location_based_ad
1904,Validate user,control,3,2,Admin Login,Admin Login,s14b_location_based_ad
1905,Display Password Reset Page,control,2,1,Admin Login,Admin Login,s14b_location_based_ad
1906,Enter username and password,control,2,1,Admin Login,Admin Login,s14b_location_based_ad
1907,Display Invalid Email Message,control,2,1,Admin Login,Admin Login,s14b_location_based_ad
1908,Display login page,control,1,0,Admin Login,Admin Login,s14b_location_based_ad
1909,Display Invalid Username Password Message,control,1,1,Admin Login,Admin Login,s14b_location_based_ad
1910,Admin password reset page,boundary,1,1,Admin Login,Admin Login,s14b_location_based_ad
1911,Enter email address,control,1,2,Admin Login,Admin Login,s14b_location_based_ad
1912,Administrator,actor,1,0,Admin Login,Admin Login,s14b_location_based_ad
1913,Admin Login Page,boundary,4,2,Admin Login,Admin Login,s14b_location_based_ad
1914,Partner,entity,0,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1915,Bills,entity,0,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1916,Resolve Dispute page,boundary,3,2,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1917,Selects Dispute,control,1,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1918,ErrorController,control,1,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1919,Dispute,entity,0,2,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1920,ApproveDisputeController,control,4,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1921,Display Error Page,boundary,0,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1922,FetchDisputeController,control,3,3,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1923,View Redemption Statistics for Partner,control,0,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1924,View Partneer Billing Status,control,0,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1925,Display Success Page,boundary,0,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1926,EmailNotificationController,control,1,1,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1927,Administrator,actor,2,0,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1928,Dispute Redemption Page,boundary,3,2,Resolve Dispute,Resolve Dispute,s14b_location_based_ad
1929,Fail to connect internet page,boundary,0,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1930,Coupon Retrieve Page,boundary,1,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1931,Ad server,actor,1,0,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1932,Server Partner - coupon database,entity,0,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1933,Retrieve specific partner's coupon information,control,2,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1934,Local coupon database,entity,0,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1935,Save it later,control,1,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1936,Cancel,control,0,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1937,Geo fence,control,3,3,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1938,check internet,control,3,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1939,Redeem,control,0,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1940,Coupon Notification Popup Window,boundary,3,4,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1941,Check GPS,control,2,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1942,Employee,actor,3,0,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1943,GPS not work page,boundary,0,1,Receive Coupon,Receive Coupon - Android,s14b_location_based_ad
1944,Sort coupons from far to close,control,1,1,Save it for later,Save it for later,s14b_location_based_ad
1945,Categories,entity,0,1,Save it for later,Save it for later,s14b_location_based_ad
1946,Add coupon into category,control,1,1,Save it for later,Save it for later,s14b_location_based_ad
1947,Category list,boundary,1,3,Save it for later,Save it for later,s14b_location_based_ad
1948,Random coupoon pool,entity,0,1,Save it for later,Save it for later,s14b_location_based_ad
1949,Choose a category or not,control,4,1,Save it for later,Save it for later,s14b_location_based_ad
1950,Create a category,control,1,2,Save it for later,Save it for later,s14b_location_based_ad
1951,User,actor,1,0,Save it for later,Save it for later,s14b_location_based_ad
1952,Coupon receiving page,boundary,1,1,Save it for later,Save it for later,s14b_location_based_ad
1953,Remove coupon,control,2,0,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1954,Show details,boundary,1,3,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1955,Coupons,entity,0,3,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1956,Redeem coupon,control,0,1,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1957,Dispute,entity,1,0,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1958,Verify coupon,control,2,1,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1959,Show coupons,boundary,1,2,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1960,Get coupons list,control,4,1,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1961,User,actor,1,0,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1962,Originating page,boundary,1,1,View stored coupons,View stored coupons - Android,s14b_location_based_ad
1963,Scan QR Code,control,1,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1964,Input Coupon Code ID,control,1,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1965,Redeem Coupon Page,boundary,2,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1966,Click Redeem Button,boundary,1,2,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1967,Remove,control,1,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1968,Admin Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1969,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1970,Database,entity,1,0,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1971,Display redeemed coupon page,control,2,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1972,Redeemed coupon record page,boundary,0,3,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1973,Enter Username and password,control,2,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1974,User,actor,3,0,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1975,Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - Android,s14b_location_based_ad
1976,Login page,boundary,0,1,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1977,Verify user's session,control,2,2,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1978,Show trip plans page,boundary,1,2,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1979,users' database table,entity,1,1,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1980,Trip plans database table,entity,1,0,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1981,Collect information,control,1,3,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1982,View trip plans,control,1,1,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1983,User,actor,1,0,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1984,Previous Page,boundary,1,1,Connect to trip plan,Connect to trip plan - Android,s14b_location_based_ad
1985,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1986,Create account page,boundary,1,2,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1987,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1988,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1989,Account,entity,2,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1990,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1991,Create an account,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1992,start auth session,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1993,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1994,Email password,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1995,Retrieve account info,control,2,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1996,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1997,Account,entity,2,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1998,Login main page,boundary,3,4,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
1999,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2000,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2001,Main page,boundary,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2002,Start auth session,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2003,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2004,Previous page (any page),boundary,0,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2005,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2006,Display,control,1,2,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2007,Account,entity,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2008,Traveler,actor,2,0,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2009,Retrieve account info,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2010,Forget password page,boundary,2,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2011,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2012,Previous page,boundary,0,2,Login to tripplanner,Login to tripplanner - Android,s14b_location_based_ad
2013,Fail to connect internet page,boundary,0,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2014,Coupon Retrieve Page,boundary,1,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2015,Ad server,actor,1,0,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2016,Server Partner - coupon database,entity,0,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2017,Retrieve specific partner's coupon information,control,2,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2018,Local coupon database,entity,0,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2019,Save it later,control,1,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2020,Cancel,control,0,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2021,Geo fence,control,1,2,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2022,check internet,control,3,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2023,Redeem,control,0,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2024,Coupon Notification Popup Window,boundary,3,4,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2025,Check GPS,control,2,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2026,Employee,actor,3,0,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2027,GPS not work page,boundary,0,1,Receive Coupon,Receive Coupon - iOS,s14b_location_based_ad
2028,Login page,boundary,0,1,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2029,Verify user's session,control,2,2,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2030,Show trip plans page,boundary,0,1,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2031,users' database table,entity,1,0,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2032,Trip plans database table,entity,1,0,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2033,Collect information,control,1,2,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2034,View trip plans,control,1,1,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2035,User,actor,1,0,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2036,Previous Page,boundary,1,1,Connect to trip plan,Connect to trip plan - iOS,s14b_location_based_ad
2037,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2038,Create account page,boundary,1,2,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2039,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2040,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2041,Account,entity,2,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2042,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2043,Create an account,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2044,start auth session,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2045,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2046,Email password,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2047,Retrieve account info,control,2,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2048,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2049,Account,entity,2,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2050,Login main page,boundary,3,4,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2051,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2052,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2053,Main page,boundary,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2054,Start auth session,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2055,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2056,Previous page (any page),boundary,0,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2057,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2058,Display,control,1,2,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2059,Account,entity,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2060,Traveler,actor,2,0,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2061,Retrieve account info,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2062,Forget password page,boundary,2,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2063,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2064,Previous page,boundary,0,2,Login to tripplanner,Login to tripplanner - iOS,s14b_location_based_ad
2065,Scan QR Code,control,1,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2066,Input Coupon Code ID,control,1,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2067,Redeem Coupon Page,boundary,2,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2068,Click Redeem Button,boundary,1,2,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2069,Remove,control,0,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2070,Admin Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2071,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2072,Database,entity,1,0,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2073,Display redeemed coupon page,control,1,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2074,Redeemed coupon record page,boundary,0,3,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2075,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2076,User,actor,3,0,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2077,Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - iOS,s14b_location_based_ad
2078,Sort coupons from far to close,control,1,1,Save it for lateer,Save it for lateer,s14b_location_based_ad
2079,Categories,entity,0,1,Save it for lateer,Save it for lateer,s14b_location_based_ad
2080,Add coupon into category,control,1,1,Save it for lateer,Save it for lateer,s14b_location_based_ad
2081,Category list,boundary,1,2,Save it for lateer,Save it for lateer,s14b_location_based_ad
2082,Random coupoon pool,entity,0,1,Save it for lateer,Save it for lateer,s14b_location_based_ad
2083,Choose a category or not,control,3,1,Save it for lateer,Save it for lateer,s14b_location_based_ad
2084,Create a category,control,1,1,Save it for lateer,Save it for lateer,s14b_location_based_ad
2085,User,actor,1,0,Save it for lateer,Save it for lateer,s14b_location_based_ad
2086,Coupon receiving page,boundary,1,1,Save it for lateer,Save it for lateer,s14b_location_based_ad
2087,Remove coupon,control,2,0,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2088,Show details,boundary,1,3,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2089,Coupons,entity,0,3,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2090,Redeem coupon,control,0,1,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2091,Dispute,entity,1,0,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2092,Verify coupon,control,2,1,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2093,Show coupons,boundary,1,1,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2094,Get coupons list,control,2,1,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2095,User,actor,1,0,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2096,Originating page,boundary,1,1,View stored coupons,View stored coupons - iOS,s14b_location_based_ad
2097,Invoke design coupon use case,boundary,0,1,Modify Offer,Modify Offer,s14b_location_based_ad
2098,Enter offer's new values,boundary,0,1,Modify Offer,Modify Offer,s14b_location_based_ad
2099,Modify offer page,boundary,3,1,Modify Offer,Modify Offer,s14b_location_based_ad
2100,Modify Offer,control,1,1,Modify Offer,Modify Offer,s14b_location_based_ad
2101,Edit Offer,control,1,1,Modify Offer,Modify Offer,s14b_location_based_ad
2102,Offer,entity,0,1,Modify Offer,Modify Offer,s14b_location_based_ad
2103,Offers Page,boundary,1,1,Modify Offer,Modify Offer,s14b_location_based_ad
2104,FTSR,actor,1,0,Modify Offer,Modify Offer,s14b_location_based_ad
2105,Email user reset password confirmation email,control,0,1,Partner Login,Partner Login,s14b_location_based_ad
2106,Display reset password dialog,control,1,1,Partner Login,Partner Login,s14b_location_based_ad
2107,System Database,entity,1,1,Partner Login,Partner Login,s14b_location_based_ad
2108,Query database with username and password,control,1,2,Partner Login,Partner Login,s14b_location_based_ad
2109,Is a match found?,control,3,1,Partner Login,Partner Login,s14b_location_based_ad
2110,Display error message,control,0,1,Partner Login,Partner Login,s14b_location_based_ad
2111,Enter username and password,control,1,1,Partner Login,Partner Login,s14b_location_based_ad
2112,Display Partner Login,control,1,0,Partner Login,Partner Login,s14b_location_based_ad
2113,Partner Portal,boundary,0,2,Partner Login,Partner Login,s14b_location_based_ad
2114,Partner Login,boundary,2,2,Partner Login,Partner Login,s14b_location_based_ad
2115,User,actor,2,0,Partner Login,Partner Login,s14b_location_based_ad
2116,Display Home Page(Designed by other part),control,0,1,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2117,Buy Success Page,boundary,1,2,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2118,Display Buy My Subscription Success Page,control,1,1,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2119,Subscription,entity,1,1,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2120,Marked as Subscirpted,control,1,1,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2121,Buy Subscription Comfirmation Page,boundary,1,2,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2122,Display Subscription Comfirmation Page,control,1,1,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2123,Buy Subscription Page(1),boundary,1,2,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2124,Display Subscription Page(2),control,1,1,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2125,Buy Subscription Page(1),boundary,1,1,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2126,Business Parter,actor,4,0,Buy Partner Subscription,Buy Partner Subscription,s14b_location_based_ad
2127,Auto publish reschedule,control,1,0,Publish Offer,Publish Offer,s14b_location_based_ad
2128,Display modify error,control,0,1,Publish Offer,Publish Offer,s14b_location_based_ad
2129,Add Server,actor,1,0,Publish Offer,Publish Offer,s14b_location_based_ad
2130,Publish offer,control,0,2,Publish Offer,Publish Offer,s14b_location_based_ad
2131,Check validate,control,2,1,Publish Offer,Publish Offer,s14b_location_based_ad
2132,offer details,boundary,1,3,Publish Offer,Publish Offer,s14b_location_based_ad
2133,Offers,entity,1,0,Publish Offer,Publish Offer,s14b_location_based_ad
2134,Retrieve offers,control,1,2,Publish Offer,Publish Offer,s14b_location_based_ad
2135,Display offer,control,2,1,Publish Offer,Publish Offer,s14b_location_based_ad
2136,Dispaly Error Msg,control,0,1,Publish Offer,Publish Offer,s14b_location_based_ad
2137,offers pages,boundary,1,1,Publish Offer,Publish Offer,s14b_location_based_ad
2138,FTSR,actor,2,0,Publish Offer,Publish Offer,s14b_location_based_ad
2139,Coupon Invalid,boundary,1,1,Test Coupon,Test Coupon,s14b_location_based_ad
2140,Coupon Redeemed,boundary,1,1,Test Coupon,Test Coupon,s14b_location_based_ad
2141,Coupon Validator,control,1,2,Test Coupon,Test Coupon,s14b_location_based_ad
2142,FT,actor,3,0,Test Coupon,Test Coupon,s14b_location_based_ad
2143,Coupon Database,entity,0,2,Test Coupon,Test Coupon,s14b_location_based_ad
2144,Redeem Coupon,control,1,1,Test Coupon,Test Coupon,s14b_location_based_ad
